,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
5929|GABPA,0.954024836116623,Homo sapiens,GABPA,tf,RWPE1,Epithelium,Prostate,0,GABPA
65104|ZNF596,0.954088285584971,Homo sapiens,ZNF596,,HEK293,Epithelium,Embryonic Kidney,0,ZNF596
77091|ZNF557,0.954118730520104,Homo sapiens,ZNF557,tf,293T,None,None,1,ZNF557
42742|PPARA,0.954310170404178,Homo sapiens,PPARA,tf,LoVo,None,Colon,0,PPARA
77020|ZNF891,0.954322473585641,Homo sapiens,ZNF891,other,293T,None,None,0,ZNF891
73934|ZNF669,0.954377303983639,Homo sapiens,ZNF669,,293T,None,None,1,ZNF669
63151|SRSF3,0.954886859099621,Homo sapiens,SRSF3,,K562,Erythroblast,Bone Marrow,0,SRSF3
65065|ZNF595,0.955170375600596,Homo sapiens,ZNF595,,HEK293,Epithelium,Embryonic Kidney,1,ZNF595
77072|ZNF620,0.955182541680035,Homo sapiens,ZNF620,tf,293T,None,None,0,ZNF620
63821|GTF2E2,0.955508068403685,Homo sapiens,GTF2E2,tf,K562,Erythroblast,Bone Marrow,0,GTF2E2
54635|HECTD1,0.955596645657561,Homo sapiens,HECTD1,predicted chromatin regulator,MCF-7,Epithelium,Breast,0,HECTD1
38689|CREB3L2,0.9557460925224,Homo sapiens,CREB3L2,tf,LoVo,None,Colon,0,CREB3L2
77140|ZNF304,0.956001129959683,Homo sapiens,ZNF304,other,293T,None,None,1,ZNF304
62568|ZNF592,0.95601409287912,Homo sapiens,ZNF592,,MCF-7,Epithelium,Breast,1,ZNF592
76671|SMARCA1,0.956332834361725,Homo sapiens,SMARCA1,cr,LNCaP,Epithelium,Prostate,0,SMARCA1
42758|E2F8,0.956572118491058,Homo sapiens,E2F8,tf,LoVo,None,Colon,0,E2F8
38744|RAX2,0.95696742385984,Homo sapiens,RAX2,tf,LoVo,None,Colon,0,RAX2
65064|ZNF34,0.957005667655242,Homo sapiens,ZNF34,,HEK293,Epithelium,Embryonic Kidney,0,ZNF34
77023|ZNF860,0.95705413138215,Homo sapiens,ZNF860,other,293T,None,None,0,ZNF860
42737|NFAT5,0.957466389813864,Homo sapiens,NFAT5,tf,LoVo,None,Colon,0,NFAT5
